"ID","State","MakeArt","Age","Female","White","Black","Asian","Hispanic","Education","Income","HHUnder18"
57,"NY",0,6,1,0,1,0,0,4,11,0
58,"PA",0,1,1,1,0,0,0,2,10,1
61,"FL",1,2,1,1,0,0,0,4,10,3
69,"CA",0,2,1,1,0,0,0,4,2,0
71,"VA",0,2,0,1,0,0,0,4,11,3
73,"TX",0,5,1,1,0,0,0,3,9,0
74,"TN",0,5,0,0,0,0,0,4,9,0
79,"AZ",0,7,0,1,0,0,0,4,12,0
80,"PA",1,5,1,1,0,0,0,4,16,0
93,"NV",0,5,1,1,0,0,0,3,1,0
95,"WA",0,5,0,0,0,1,0,3,2,0
96,"DC",0,6,1,1,0,0,0,4,18,0
100,"NY",0,5,0,1,0,0,0,2,14,0
104,"NC",0,3,1,1,0,0,0,4,9,0
111,"LA",0,2,1,1,0,0,0,3,13,3
114,"LA",1,4,1,1,0,0,0,4,11,0
115,"CA",0,7,0,1,0,0,0,4,6,0
118,"OK",1,3,1,1,0,0,0,3,14,1
130,"AZ",0,5,0,1,0,0,0,3,7,0
131,"VA",0,7,1,1,0,0,0,4,12,0
135,"IL",1,3,1,1,0,0,0,4,14,0
137,"PA",0,4,1,0,1,0,0,1,6,0
144,"NY",0,7,0,0,0,1,0,4,13,0
146,"NY",1,2,0,1,0,0,0,4,11,0
148,"LA",1,4,1,0,0,0,0,4,15,0
150,"MI",0,4,1,1,0,0,0,3,8,0
162,"IN",NA,5,1,1,0,0,0,3,13,0
163,"LA",0,4,1,0,0,0,0,3,18,0
167,"UT",0,6,1,1,0,0,0,3,13,0
174,"WI",0,4,1,0,1,0,0,3,10,0
176,"PA",1,3,1,1,0,0,0,2,7,3
178,"MD",0,6,0,1,0,0,0,4,13,2
179,"IN",0,2,1,1,0,0,0,2,4,2
186,"CA",1,1,0,1,0,0,0,3,3,0
189,"TN",0,1,0,1,0,0,0,3,10,0
196,"CA",0,2,1,1,0,0,0,4,14,1
206,"OH",0,6,1,1,0,0,0,3,3,0
209,"NJ",1,4,1,1,0,0,0,4,15,0
213,"WA",0,4,0,0,0,0,0,4,15,0
214,"PA",1,5,1,1,0,0,0,4,14,0
218,"CA",0,5,1,0,1,0,0,3,3,0
221,"CA",1,3,1,0,0,1,0,3,7,0
227,"NC",1,5,1,1,0,0,0,3,14,0
232,"MO",1,6,1,1,0,0,0,3,6,0
243,"CA",0,4,0,1,0,0,0,4,10,0
247,"WA",1,6,0,1,0,0,0,3,7,0
252,"CA",1,3,1,1,0,0,0,4,15,0
256,"FL",0,6,0,1,0,0,0,4,10,0
260,"ND",0,6,0,1,0,0,0,3,9,0
261,"VA",0,1,1,1,0,0,0,3,14,1
264,"WA",0,4,0,0,0,1,0,4,14,0
273,"IL",1,5,1,1,0,0,0,3,2,0
278,"NE",1,2,1,1,0,0,0,4,5,1
281,"CA",0,2,0,1,0,0,0,3,4,1
283,"NY",0,2,1,1,0,0,0,4,14,0
285,"CA",1,3,0,1,0,0,0,3,7,0
286,"IL",0,2,1,0,0,1,0,4,14,1
287,"IN",0,4,0,1,0,0,0,3,11,0
293,"NJ",0,5,0,1,0,0,0,4,11,0
297,"MN",0,2,0,1,0,0,0,4,14,1
302,"VA",0,4,0,0,0,0,0,4,16,0
305,"WI",1,2,1,1,0,0,0,3,7,0
309,"WA",0,3,0,0,0,0,0,4,18,2
311,"MO",0,6,1,1,0,0,0,4,11,0
313,"TN",0,3,0,1,0,0,0,4,13,0
321,"IA",0,7,0,1,0,0,0,4,11,0
323,"CA",1,5,1,1,0,0,0,4,13,0
326,"NY",1,4,1,1,0,0,0,4,13,0
335,"TX",0,5,0,0,0,1,0,4,17,0
336,"MA",0,4,0,1,0,0,0,4,16,2
338,"SD",0,5,1,1,0,0,0,4,14,0
339,"SD",0,4,1,1,0,0,0,2,14,0
343,"MA",0,4,1,1,0,0,0,4,16,1
344,"NJ",0,4,0,1,0,0,0,4,18,1
347,"CO",0,3,1,1,0,0,0,4,13,2
357,"TX",0,5,0,0,1,0,0,4,2,0
359,"AL",0,7,1,1,0,0,0,3,7,0
360,"MN",0,6,1,1,0,0,0,2,8,0
363,"IL",0,3,1,1,0,0,0,2,1,3
369,"CA",0,7,0,1,0,0,0,3,9,0
374,"FL",0,3,0,0,1,0,0,3,9,0
382,"MD",0,7,1,0,1,0,0,3,9,1
402,"WA",0,3,1,1,0,0,0,2,4,0
411,"GA",1,1,0,1,0,0,0,3,8,1
412,"VA",0,3,1,1,0,0,0,4,15,2
415,"CA",1,4,0,1,0,0,0,3,13,0
425,"AZ",1,3,1,1,0,0,0,4,14,3
437,"AZ",0,5,1,0,1,0,0,4,13,1
438,"CA",0,5,0,0,1,0,0,4,12,0
451,"IA",0,2,1,1,0,0,0,4,9,0
470,"VA",1,1,1,1,0,0,0,3,4,0
477,"CA",0,3,1,0,1,0,0,1,6,1
480,"CO",1,2,1,1,0,0,0,3,11,0
486,"OH",0,6,0,1,0,0,0,4,9,0
490,"NJ",1,3,1,0,1,0,0,4,13,0
492,"MI",0,2,1,1,0,0,0,3,7,0
493,"MN",0,5,1,1,0,0,0,2,9,0
497,"WI",1,2,0,1,0,0,0,3,15,0
502,"FL",1,4,1,1,0,0,0,3,8,0
504,"CA",NA,1,0,0,0,1,0,4,5,0
518,"RI",1,4,1,1,0,0,0,4,10,0
525,"CA",1,6,1,1,0,0,0,3,9,0
527,"OR",0,4,1,1,0,0,0,4,15,0
535,"CT",0,6,1,1,0,0,0,3,7,0
539,"FL",0,5,1,1,0,0,0,2,11,1
544,"CO",0,6,1,1,0,0,0,4,9,0
546,"CA",0,6,0,1,0,0,0,4,13,0
547,"MI",0,4,1,1,0,0,0,4,18,0
548,"FL",0,6,0,1,0,0,0,2,14,0
552,"CA",NA,6,1,0,0,0,0,3,6,0
554,"CA",0,5,1,0,0,1,0,3,2,0
