bill_id,people_id,name,chamber,district,party,sponsor
1136626,262,David Argall,Sen,SD-029,R,1
1136626,277,Michele Brooks,Sen,SD-050,R,0
1136626,347,Thomas Killion,Sen,SD-009,R,1
1136626,372,Robert Mensch,Sen,SD-024,R,0
1136626,419,John Sabatina,Sen,SD-005,D,0
1136626,466,Lisa Boscola,Sen,SD-018,D,0
1136626,463,John Yudichak,Sen,SD-014,D,0
1136626,465,Lisa Baker,Sen,SD-020,R,0
1136626,424,Mario Scavello,Sen,SD-040,R,1
1136626,20817,Lindsey Williams,Sen,SD-038,D,0
1136626,21357,Pam Iovino,Sen,SD-037,D,0
1136626,21372,Doug Mastriano,Sen,SD-033,R,0
1136626,470,Jay Costa,Sen,SD-043,D,1
1136626,467,Patrick Browne,Sen,SD-016,R,1
1136626,471,Andrew Dinniman,Sen,SD-019,D,1
1136626,479,John Gordner,Sen,SD-027,R,0
1136626,481,Vincent Hughes,Sen,SD-007,D,1
1136626,934,Gene Yaw,Sen,SD-023,R,0
1136626,477,Wayne Fontana,Sen,SD-042,D,1
1136626,503,Christine Tartaglione,Sen,SD-002,D,0
1136626,504,Robert Tomlinson,Sen,SD-006,R,0
1136626,500,Joseph Scarnati,Sen,SD-025,R,0
1136626,896,Richard Alloway,Sen,SD-033,R,0
1136626,898,Lawrence Farnese,Sen,SD-001,D,1
1136626,511,Anthony Williams,Sen,SD-008,D,0
1136626,902,Elder Vogel,Sen,SD-047,R,1
1136626,18516,Sharif Street,Sen,SD-003,D,1
1136626,931,Steven Santarsiero,Sen,SD-010,D,1
1136626,11213,James Brewster,Sen,SD-045,D,1
1136626,11527,Ryan Aument,Sen,SD-036,R,1
1136626,13010,Judy Schwank,Sen,SD-011,D,0
1136626,14166,Michael Regan,Sen,SD-031,R,0
1136626,16869,Patrick Stefano,Sen,SD-032,R,0
1136626,11539,John Blake,Sen,SD-022,D,1
1136626,18946,Scott Martin,Sen,SD-013,R,0
1136626,17529,Judith Ward,Sen,SD-030,R,1
1136626,16957,Arthur Haywood,Sen,SD-004,D,0
1136626,16956,Camera Bartolotta,Sen,SD-046,R,1
1136626,469,Jacob Corman,Sen,SD-034,R,0
1136626,21535,Dave Arnold,Sen,SD-048,R,0
1136626,18795,Wayne Langerholc,Sen,SD-035,R,0
1136626,16870,Kristin Phillips-Hill,Sen,SD-028,R,1
1136626,20815,Timothy Kearney,Sen,SD-026,D,0
1136626,20816,Katie Muth,Sen,SD-044,D,0
1136626,18900,Daniel Laughlin,Sen,SD-049,R,0
1136626,339,Scott Hutchinson,Sen,SD-021,R,0
1136626,903,Kim Ward,Sen,SD-039,R,0
1136626,19038,Giovanni DiSanto,Sen,SD-015,R,0
1136626,508,Donald White,Sen,SD-041,R,0
1136626,20563,Maria Collett,Sen,SD-012,D,0
1136626,21371,Joe Pittman,Sen,SD-041,R,0
1136626,476,Michael Folmer,Sen,SD-048,R,0
1136626,353,Daylin Leach,Sen,SD-017,D,0
1136627,465,Lisa Baker,Sen,SD-020,R,0
1136627,500,Joseph Scarnati,Sen,SD-025,R,0
1136627,463,John Yudichak,Sen,SD-014,D,0
1136627,347,Thomas Killion,Sen,SD-009,R,0
1136627,934,Gene Yaw,Sen,SD-023,R,0
1136627,20817,Lindsey Williams,Sen,SD-038,D,0
1136627,17529,Judith Ward,Sen,SD-030,R,0
1136627,18946,Scott Martin,Sen,SD-013,R,0
1136627,16869,Patrick Stefano,Sen,SD-032,R,0
1136627,11213,James Brewster,Sen,SD-045,D,0
1136627,469,Jacob Corman,Sen,SD-034,R,1
1136627,20815,Timothy Kearney,Sen,SD-026,D,0
1136627,467,Patrick Browne,Sen,SD-016,R,0
1136627,21372,Doug Mastriano,Sen,SD-033,R,0
1136627,353,Daylin Leach,Sen,SD-017,D,0
1136627,424,Mario Scavello,Sen,SD-040,R,0
1136627,14166,Michael Regan,Sen,SD-031,R,0
1136627,19038,Giovanni DiSanto,Sen,SD-015,R,0
1136627,902,Elder Vogel,Sen,SD-047,R,0
1136627,20816,Katie Muth,Sen,SD-044,D,0
1136627,16956,Camera Bartolotta,Sen,SD-046,R,0
1136627,503,Christine Tartaglione,Sen,SD-002,D,0
1136627,339,Scott Hutchinson,Sen,SD-021,R,0
1136627,21535,Dave Arnold,Sen,SD-048,R,0
1136627,511,Anthony Williams,Sen,SD-008,D,0
1136627,896,Richard Alloway,Sen,SD-033,R,0
1136627,277,Michele Brooks,Sen,SD-050,R,0
1136627,20563,Maria Collett,Sen,SD-012,D,0
1136627,481,Vincent Hughes,Sen,SD-007,D,0
1136627,11527,Ryan Aument,Sen,SD-036,R,0
1136627,477,Wayne Fontana,Sen,SD-042,D,0
1136627,508,Donald White,Sen,SD-041,R,0
1136627,504,Robert Tomlinson,Sen,SD-006,R,0
1136627,16870,Kristin Phillips-Hill,Sen,SD-028,R,0
1136627,931,Steven Santarsiero,Sen,SD-010,D,0
1136627,18795,Wayne Langerholc,Sen,SD-035,R,0
1136627,262,David Argall,Sen,SD-029,R,0
1136627,898,Lawrence Farnese,Sen,SD-001,D,0
1136627,21357,Pam Iovino,Sen,SD-037,D,0
1136627,21371,Joe Pittman,Sen,SD-041,R,0
1136627,372,Robert Mensch,Sen,SD-024,R,0
1136627,466,Lisa Boscola,Sen,SD-018,D,0
1136627,471,Andrew Dinniman,Sen,SD-019,D,0
1136627,470,Jay Costa,Sen,SD-043,D,1
1136627,18516,Sharif Street,Sen,SD-003,D,0
1136627,903,Kim Ward,Sen,SD-039,R,0
1136627,18900,Daniel Laughlin,Sen,SD-049,R,0
1136627,16957,Arthur Haywood,Sen,SD-004,D,0
1136627,11539,John Blake,Sen,SD-022,D,0
1136627,476,Michael Folmer,Sen,SD-048,R,0
1136627,419,John Sabatina,Sen,SD-005,D,0
1136627,479,John Gordner,Sen,SD-027,R,0
1136627,13010,Judy Schwank,Sen,SD-011,D,0
1136628,20563,Maria Collett,Sen,SD-012,D,0
1136628,470,Jay Costa,Sen,SD-043,D,1
1136628,934,Gene Yaw,Sen,SD-023,R,0
1136628,19038,Giovanni DiSanto,Sen,SD-015,R,0
1136628,479,John Gordner,Sen,SD-027,R,0
1136628,11213,James Brewster,Sen,SD-045,D,0
1136628,511,Anthony Williams,Sen,SD-008,D,0
1136628,353,Daylin Leach,Sen,SD-017,D,0
1136628,508,Donald White,Sen,SD-041,R,0
1136628,465,Lisa Baker,Sen,SD-020,R,0
1136628,20815,Timothy Kearney,Sen,SD-026,D,0
1136628,18946,Scott Martin,Sen,SD-013,R,0
1136628,481,Vincent Hughes,Sen,SD-007,D,0
1136628,372,Robert Mensch,Sen,SD-024,R,0
1136628,504,Robert Tomlinson,Sen,SD-006,R,0
1136628,902,Elder Vogel,Sen,SD-047,R,0
1136628,500,Joseph Scarnati,Sen,SD-025,R,0
1136628,931,Steven Santarsiero,Sen,SD-010,D,0
1136628,463,John Yudichak,Sen,SD-014,D,0
1136628,903,Kim Ward,Sen,SD-039,R,0
1136628,11527,Ryan Aument,Sen,SD-036,R,0
1136628,20817,Lindsey Williams,Sen,SD-038,D,0
1136628,467,Patrick Browne,Sen,SD-016,R,0
1136628,277,Michele Brooks,Sen,SD-050,R,0
1136628,419,John Sabatina,Sen,SD-005,D,0
1136628,898,Lawrence Farnese,Sen,SD-001,D,0
